PLAYER,TEAM,Age,GP,PTS,TRB,AST,BLK,Salary,TS%,Predicted_Salary,Valuation,Diff
Russell Westbrook,DEN,36.0,63,13.1,5.1,6.3,0.5,5631296.0,0.538,29211589,Undervalued,23580293.0
Keldon Johnson,SAS,25.0,65,12.5,4.6,1.5,0.2,20000000.0,0.576,11822400,Overvalued,8177600.0
Keegan Murray,SAC,24.0,66,12.3,6.8,1.5,0.8,8409000.0,0.548,13319657,Fair,4910657.0
Harrison Barnes,SAS,32.0,68,11.8,3.9,1.7,0.2,18000000.0,0.647,18038812,Fair,38812.0
Onyeka Okongwu,ATL,24.0,62,12.9,8.6,2.2,1.0,8109063.0,0.633,14977802,Undervalued,6868739.0
Buddy Hield,GSW,32.0,70,11.3,3.3,1.7,0.3,19279841.0,0.558,18362433,Fair,917408.0
Aaron Wiggins,OKC,26.0,68,11.6,3.8,1.7,0.3,1836096.0,0.599,11742614,Undervalued,9906518.0
Scoot Henderson,POR,21.0,62,12.7,3.1,5.0,0.2,10259449.0,0.542,9382276,Fair,877173.0
Gradey Dick,TOR,21.0,54,14.4,3.6,1.8,0.2,4763543.0,0.543,10021948,Undervalued,5258405.0
Kyle Kuzma,MIL,29.0,52,14.8,6.0,2.3,0.2,13000000.0,0.499,21201796,Undervalued,8201796.0
Jalen Duren,DET,21.0,67,11.4,10.3,2.5,1.1,4330680.0,0.708,10026127,Undervalued,5695447.0
Ty Jerome,CLE,27.0,64,11.9,2.5,3.3,0.0,1761752.0,0.627,12629241,Undervalued,10867489.0
John Collins,UTA,27.0,40,19.0,8.2,2.0,1.0,25340000.0,0.628,25920667,Fair,580667.0
Jakob Poeltl,TOR,29.0,53,14.3,9.6,2.8,1.2,19500000.0,0.637,23890348,Fair,4390348.0
Duncan Robinson,MIA,30.0,66,11.2,2.3,2.5,0.1,18154000.0,0.593,15304273,Fair,2849727.0
Zion Williamson,NOP,24.0,30,24.6,7.2,5.3,0.9,33500000.0,0.6,30560699,Fair,2939301.0
Naji Marshall,DAL,27.0,57,12.8,4.7,2.9,0.1,1930681.0,0.577,15302521,Undervalued,13371840.0
Spencer Dinwiddie,DAL,31.0,68,10.7,2.4,3.9,0.2,20357143.0,0.55,17337150,Fair,3019993.0
Fred VanVleet,HOU,31.0,51,14.2,4.0,5.6,0.5,22824074.0,0.515,24760630,Fair,1936556.0
Tyus Jones,PHX,28.0,69,10.4,2.4,5.7,0.1,14000000.0,0.587,13877487,Fair,122513.0
Corey Kispert,WAS,26.0,61,11.6,3.0,1.7,0.2,3722040.0,0.584,11636699,Undervalued,7914659.0
D'Angelo Russell,BKN,29.0,54,13.0,2.8,5.2,0.4,0.0,0.526,19969133,Undervalued,19969133.0
Keon Johnson,BKN,23.0,68,10.1,3.7,2.0,0.4,2808720.0,0.482,8274754,Undervalued,5466034.0
Jalen Johnson,ATL,23.0,36,18.9,10.0,5.0,1.0,2925360.0,0.569,24330281,Undervalued,21404921.0
Obi Toppin,IND,27.0,66,10.3,4.0,1.6,0.3,6803012.0,0.643,11138719,Fair,4335707.0
Jerami Grant,POR,31.0,47,14.4,3.5,2.1,1.0,0.0,0.523,24523091,Undervalued,24523091.0
Amir Coffey,LAC,27.0,67,10.1,2.3,1.1,0.1,3666667.0,0.614,9661780,Undervalued,5995113.0
Paul George,PHI,34.0,41,16.2,5.3,4.3,0.5,45640084.0,0.543,30305568,Overvalued,15334516.0
Rui Hachimura,LAL,27.0,50,13.3,5.2,1.5,0.5,8486619.0,0.612,16481016,Undervalued,7994397.0
Rudy Gobert,MIN,32.0,61,10.9,10.2,1.8,1.5,41000000.0,0.677,23387174,Overvalued,17612826.0
Nickeil Alexander-Walker,MIN,26.0,71,9.3,3.2,2.5,0.4,7073602.0,0.58,9807863,Fair,2734261.0
Terry Rozier,MIA,31.0,59,11.2,3.8,2.7,0.2,23205221.0,0.504,18596608,Fair,4608613.0
Julian Champagnie,SAS,23.0,68,9.5,3.8,1.4,0.4,1761752.0,0.571,6451417,Fair,4689665.0
Georges Niang,ATL,31.0,67,9.6,3.8,1.4,0.2,0.0,0.6,14801556,Undervalued,14801556.0
Max Christie,DAL,22.0,66,9.6,3.2,1.9,0.4,1719864.0,0.576,5537521,Fair,3817657.0
Bobby Portis,MIL,30.0,46,13.7,8.3,2.2,0.5,11710818.0,0.538,22724623,Undervalued,11013805.0
Daniel Gafford,DAL,26.0,51,12.3,6.9,1.4,1.9,12402000.0,0.716,18051570,Undervalued,5649570.0
Caris LeVert,ATL,30.0,52,11.9,3.1,3.4,0.5,0.0,0.593,18761461,Undervalued,18761461.0
Luguentz Dort,OKC,25.0,62,9.9,4.2,1.6,0.6,15277778.0,0.572,10311493,Fair,4966285.0
Moses Moody,GSW,22.0,62,9.9,2.5,1.2,0.4,3918480.0,0.587,5317029,Fair,1398549.0
Donte DiVincenzo,MIN,28.0,52,11.7,3.8,3.8,0.2,4725000.0,0.58,15938266,Undervalued,11213266.0
