PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Age,TS%,Salary
1630169,41,Tyrese Haliburton,1610612754,IND,62,2107,401,858,0.467,186,481,0.387,157,183,0.858,36,183,3.5,9.0,94,0.6,104,79,18.5,1469,5.39,0.9,25.0,0.61,5808435.0
1630163,42,LaMelo Ball,1610612766,CHA,45,1442,391,971,0.403,174,514,0.339,185,221,0.837,46,182,5.1,7.2,52,0.3,158,148,25.4,986,2.06,0.33,23.0,0.534,10900635.0
1627736,43,Malik Beasley,1610612765,DET,70,1919,396,901,0.44,272,649,0.419,73,113,0.646,39,150,2.7,1.7,67,0.1,77,108,16.2,895,1.56,0.87,28.0,0.598,16524106.0
1628970,44,Miles Bridges,1610612766,CHA,54,1747,409,931,0.439,125,380,0.329,190,219,0.868,59,364,7.8,3.9,40,0.7,114,83,21.0,1180,1.83,0.35,27.0,0.551,27173913.0
203468,45,CJ McCollum,1610612740,NOP,54,1767,422,957,0.441,165,440,0.375,119,166,0.717,41,164,3.8,4.0,41,0.4,98,120,20.9,935,2.21,0.42,33.0,0.548,35802469.0
1630530,46,Trey Murphy III,1610612740,NOP,53,1854,381,839,0.454,158,438,0.361,204,230,0.887,47,221,5.1,3.5,56,0.7,103,112,21.2,1088,1.82,0.54,24.0,0.598,5159855.0
1629628,47,RJ Barrett,1610612761,TOR,52,1713,418,885,0.472,98,273,0.359,183,282,0.649,53,283,6.5,5.7,42,0.3,154,128,21.5,1084,1.91,0.27,24.0,0.553,23883929.0
1641705,48,Victor Wembanyama,1610612759,SAS,46,1527,408,857,0.476,142,403,0.352,158,189,0.836,82,424,11.0,3.7,52,3.8,149,105,24.3,1389,1.13,0.35,21.0,0.594,12768960
1627734,49,Domantas Sabonis,1610612758,SAC,58,2016,437,737,0.593,57,134,0.425,181,242,0.748,223,581,13.9,6.2,37,0.4,170,193,19.2,1806,2.12,0.22,28.0,0.659,22000000.0
1626181,49,Norman Powell,1610612746,LAC,48,1560,386,788,0.49,153,362,0.423,187,227,0.824,17,146,3.4,2.1,61,0.2,95,90,23.2,909,1.07,0.64,31.0,0.626,18000000.0
203076,51,Anthony Davis,1610612742,DAL,43,1470,410,776,0.528,30,96,0.313,257,327,0.786,123,392,12.0,3.4,54,2.2,94,82,25.7,1387,1.57,0.57,32.0,0.602,40600080.0
1630217,51,Desmond Bane,1610612763,MEM,58,1839,411,845,0.486,132,338,0.391,153,174,0.879,55,309,6.3,5.5,69,0.4,148,142,19.1,1279,2.14,0.47,26.0,0.601,3845083.0
1627826,53,Ivica Zubac,1610612746,LAC,67,2187,488,781,0.625,0,0,0.0,122,193,0.632,252,590,12.6,2.6,49,1.2,111,145,16.4,1764,1.55,0.44,28.0,0.634,10933333.0
1628401,54,Derrick White,1610612738,BOS,65,2199,369,835,0.442,228,590,0.386,119,140,0.85,56,227,4.4,4.4,61,1.1,106,120,16.7,1190,2.69,0.57,30.0,0.605,18357143.0
203944,54,Julius Randle,1610612750,MIN,58,1870,378,792,0.477,85,259,0.328,244,303,0.805,124,284,7.0,4.6,39,0.2,168,146,18.7,1173,1.6,0.23,30.0,0.586,25660800.0
1630567,56,Scottie Barnes,1610612761,TOR,55,1855,405,908,0.446,65,243,0.267,208,270,0.77,92,339,7.8,5.9,83,1.0,160,103,19.7,1252,2.02,0.52,23.0,0.527,8008680.0
1631101,57,Shaedon Sharpe,1610612757,POR,62,1888,405,902,0.449,122,388,0.314,150,188,0.798,54,204,4.2,2.6,48,0.2,125,105,17.5,905,1.3,0.38,21.0,0.549,6313800.0
1628384,58,OG Anunoby,1610612752,NYK,63,2312,386,839,0.46,139,386,0.36,142,177,0.802,85,219,4.8,2.1,92,0.9,84,148,16.7,1069,1.61,1.09,27.0,0.574,18642857.0
1628370,59,Malik Monk,1610612758,SAC,58,1902,387,871,0.444,130,398,0.327,143,164,0.872,29,193,3.8,5.9,58,0.7,139,148,18.1,1062,2.45,0.42,27.0,0.555,9945830.0
1629029,60,Luka Dončić,1610612747,LAL,38,1335,346,787,0.44,128,367,0.349,223,290,0.769,32,291,8.5,7.9,75,0.4,144,100,27.4,1106,2.08,0.52,26.0,0.57,43031940.0
1631128,61,Christian Braun,1610612743,DEN,68,2271,400,698,0.573,73,188,0.388,154,188,0.819,83,259,5.0,2.4,75,0.5,67,145,15.1,1245,2.46,1.12,23.0,0.658,2949120.0
1631097,62,Bennedict Mathurin,1610612754,IND,63,1913,354,756,0.468,93,256,0.363,224,269,0.833,76,267,5.4,1.9,38,0.4,118,145,16.3,982,1.0,0.32,22.0,0.586,6916080.0
1629675,63,Naz Reid,1610612750,MIN,70,1959,380,827,0.459,160,415,0.386,101,131,0.771,82,349,6.2,2.2,55,1.0,96,172,14.6,1157,1.61,0.57,25.0,0.577,13986432.0
1629661,64,Cameron Johnson,1610612751,BKN,53,1689,333,699,0.476,153,384,0.398,185,209,0.885,50,177,4.3,3.2,51,0.5,89,100,18.9,996,1.89,0.57,29.0,0.635,8060533.0
1630166,65,Deni Avdija,1610612757,POR,64,1867,324,693,0.468,103,286,0.36,246,317,0.776,84,352,6.8,3.7,58,0.5,166,150,15.6,1153,1.42,0.35,24.0,0.599,6263188.0
1629012,66,Collin Sexton,1610612762,UTA,54,1510,348,734,0.474,95,236,0.403,185,214,0.864,57,99,2.9,4.2,35,0.1,142,119,18.1,844,1.61,0.25,26.0,0.589,17325000.0
1629630,67,Ja Morant,1610612763,MEM,43,1291,329,733,0.449,66,227,0.291,236,283,0.834,25,150,4.1,7.4,53,0.3,161,95,22.3,907,1.99,0.33,25.0,0.56,33500000.0
1630202,68,Payton Pritchard,1610612738,BOS,68,1914,335,714,0.469,223,533,0.418,64,75,0.853,89,165,3.7,3.4,60,0.2,64,102,14.1,1058,3.56,0.94,27.0,0.641,4037277.0
203952,69,Andrew Wiggins,1610612748,MIA,54,1666,331,754,0.439,115,316,0.364,179,232,0.772,81,162,4.5,2.5,51,0.8,85,91,17.7,867,1.58,0.6,30.0,0.558,24330357.0
1626167,70,Myles Turner,1610612754,IND,61,1870,332,696,0.477,129,330,0.391,153,195,0.785,76,319,6.5,1.6,50,1.9,107,159,15.5,1092,0.93,0.47,28.0,0.605,20975000.0
1628386,71,Jarrett Allen,1610612739,CLE,69,1981,381,543,0.702,0,3,0.0,173,236,0.733,183,515,10.1,1.9,67,0.9,80,109,13.6,1594,1.68,0.84,26.0,0.723,20000000.0
1642264,71,Stephon Castle,1610612759,SAS,67,1727,337,787,0.428,79,273,0.289,182,254,0.717,65,149,3.2,3.5,62,0.2,134,136,14.0,806,1.75,0.46,20.0,0.52,9105120.0
1641718,73,Keyonte George,1610612762,UTA,55,1722,298,748,0.398,144,416,0.346,189,236,0.801,21,186,3.8,5.8,40,0.2,154,94,16.9,853,2.07,0.26,21.0,0.545,4084265.0
1629631,74,De'Andre Hunter,1610612739,CLE,53,1466,296,633,0.468,134,324,0.414,199,233,0.854,38,174,4.0,1.5,37,0.2,70,129,17.5,819,1.1,0.53,27.0,0.629,20089286.0
1628415,75,Dillon Brooks,1610612745,HOU,66,2134,335,795,0.421,163,413,0.395,91,111,0.82,73,183,3.9,1.8,52,0.2,67,224,14.0,816,1.75,0.78,29.0,0.547,22255493.0
1628404,76,Josh Hart,1610612752,NYK,66,2491,354,664,0.533,74,218,0.339,141,178,0.792,142,494,9.6,5.7,98,0.4,137,170,14.0,1578,2.77,0.71,30.0,0.622,12960000.0
